"uniqueID","division","mpFrom","mpTo","phid","deathDate"
"Filing1955","Moore",1990-03-24,1998-10-03,"QT4",NA
"Fischer1946","Farrer",1984-12-01,2001-10-08,"DG4",2019-08-22
"Fitzgibbon1962","Hunter",1996-03-02,NA,"8K6",NA
"Fletcher1965","Bradfield",2009-12-05,NA,"L6B",NA
"Flint1978","Boothby",2016-07-02,NA,"245550",NA
"Forrest1949","Mallee",1993-03-13,2013-08-05,"NV5",NA
"Freelander1953","Macarthur",2016-07-02,NA,"265979",NA
"Frydenberg1971","Kooyong",2010-08-21,NA,"FKL",NA
"Gallus1943","Hindmarsh",1993-03-13,2004-08-31,"CU4",NA
"Gambaro1958","Brisbane",2010-08-21,2016-05-09,"9K6",NA
"Gambaro1958","Petrie",1996-03-02,2007-11-24,"9K6",NA
"Garrett1953","Kingsford Smith",2004-10-09,2013-08-05,"HV4",NA
"Gash1944","Gilmore",1996-03-02,2013-08-05,"AK6",NA
"Gee1968","Calare",2016-07-02,NA,"261393",NA
"Georganas1959","Adelaide",2019-05-18,NA,"DZY",NA
"Georganas1959","Hindmarsh",2004-10-09,2013-09-07,"DZY",NA
"Georganas1959","Hindmarsh",2016-07-02,2019-04-11,"DZY",NA
"George1947","Throsby",2001-11-10,2010-07-19,"JH5",NA
"Georgiou1947","Kooyong",1994-11-19,2010-07-19,"HM5",NA
"Gerick1963","Canning",1998-10-03,2001-11-10,"83W",2003-12-25
"Gibbons1949","Bendigo",1998-10-03,2013-08-05,"83X",NA
"Giles1973","Scullin",2013-09-07,NA,"243609",NA
"Gillard1961","Lalor",1998-10-03,2013-08-05,"83L",NA
"Gillespie1957","Lyne",2013-09-07,NA,"72184",NA
"Goodenough1975","Moore",2013-09-07,NA,"74046",NA
"Gorman1984","Perth",2018-07-28,NA,"74519",NA
"Gosling1971","Solomon",2016-07-02,NA,"245392",NA
"Grace1931","Fowler",1984-12-01,1998-08-31,"ZG4",NA
"Grace1940","Lilley",1996-03-02,1998-10-03,"ML6",NA
"Gray1958","Brand",2007-11-24,2016-07-02,"8W5",NA
"Grierson1951","Newcastle",2001-11-10,2013-08-05,"00AMP",NA
"Griffin1960","Bruce",1996-03-02,2016-05-09,"VU5",NA
"Griggs1969","Solomon",2010-08-21,2016-07-02,"220370",NA
"Haase1945","Durack",2010-08-21,2013-08-05,"84T",NA
"Haase1945","Kalgoorlie",1998-10-03,2010-08-21,"84T",NA
"Haines1961","Indi",2019-05-18,NA,"282335",NA
"Hale1969","Solomon",2007-11-24,2010-08-21,"HWD",NA
"Hall1949","Shortland",1998-10-03,2016-05-09,"83N",NA
"Halverson1937","Casey",1984-12-01,1998-08-31,"3H4",2016-12-09
"Hamilton1979","Groom",2020-11-28,NA,"291387",NA
"Hammond1968","Curtin",2019-05-18,NA,"80072",NA
"Hammond1975","Perth",2016-07-02,2018-05-10,"80109",NA
"Hanson1954","Oxley",1996-03-02,1998-10-03,"BK6",NA
"Hardgrave1960","Moreton",1996-03-02,2007-11-24,"CK6",NA
"Hart1960","Bass",2016-07-02,2019-05-18,"263070",NA
"Hartsuyker1959","Cowper",2001-11-10,2019-04-11,"00AMM",NA
"Hastie1982","Canning",2015-09-19,NA,"260805",NA
"Hatton1951","Blaxland",1996-06-15,2007-10-17,"LN6",NA
"Hawke1977","Mitchell",2007-11-24,NA,"HWO",NA
"Hawker1949","Wannon",1983-05-07,2010-07-19,"8H4",NA
"Hayes1955","Fowler",2010-08-21,NA,"ECV",NA
"Hayes1955","Werriwa",2005-03-19,2010-08-21,"ECV",NA
"Henderson1964","Corangamite",2013-09-07,2019-05-18,"ZN4",NA
"Hendy1962","Eden-Monaro",2013-09-07,2016-07-02,"00BCM",NA
"Henry1946","Hasluck",2004-10-09,2007-11-24,"E0L",NA
"Hicks1940","Riverina",1993-03-13,1998-08-31,"AH4",NA
"Hill1973","Bruce",2016-07-02,NA,"86256",NA
"Hoare1963","Charlton",1998-10-03,2007-10-17,"83Y",NA
"Hockey1965","North Sydney",1996-03-02,2015-10-23,"DK6",NA
"Hogan1963","Page",2013-09-07,NA,"218019",NA
"Holding1931","Melbourne Ports",1977-12-10,1998-08-31,"CH4",2011-07-31
"Hollis1938","Throsby",1984-12-01,2001-10-08,"DH4",NA
"Horne1939","Paterson",1998-10-03,2001-11-10,"UU5",NA
"Howard1939","Bennelong",1974-05-18,2007-11-24,"ZD4",NA
"Howarth1972","Petrie",2013-09-07,NA,"247742",NA
"Hull1954","Riverina",1998-10-03,2010-07-19,"83O",NA
"Hunt1965","Flinders",2001-11-10,NA,"00AMV",NA
"Husar1980","Lindsay",2016-07-02,2019-04-11,"263328",NA
"Husic1970","Chifley",2010-08-21,NA,"91219",NA
"Hutchinson1965","Lyons",2013-09-07,2016-07-02,"212585",NA
"Irons1958","Swan",2007-11-24,NA,"HYM",NA
"Irwin1951","Fowler",1998-10-03,2010-07-19,"83Z",NA
"Jackson1962","Hasluck",2001-11-10,2004-10-09,"00AN2",NA
"Jackson1962","Hasluck",2007-11-24,2010-08-21,"00AN2",NA
"Jeanes1958","Kingston",1996-03-02,1998-10-03,"EK6",NA
"Jenkins1952","Scullin",1986-02-08,2013-08-05,"HH4",NA
"Jensen1962","Tangney",2004-10-09,2016-07-02,"DYN",NA
"Johnson1970","Ryan",2001-11-10,2010-08-21,"00AMX",NA
"Johnston1943","Canning",1996-03-02,1998-10-03,"NL6",NA
"Jones1960","Herbert",2010-08-21,2016-07-02,"96430",NA
"Jones1965","Throsby",2010-08-21,2016-07-02,"A9B",NA
"Jones1965","Whitlam",2016-07-02,NA,"A9B",NA
"JonesBarry1932","Lalor",1977-12-10,1998-08-31,"KH4",NA
"Joyce1967","New England",2013-09-07,2017-10-27,"E5D",NA
"Joyce1967","New England",2017-12-02,NA,"E5D",NA
"Jull1944","Fadden",1984-12-01,2007-10-17,"MH4",2011-09-13
"Katter1945","Kennedy",1993-03-13,NA,"HX4",NA
"Kearney1963","Batman",2018-03-17,2019-04-11,"LTU",NA
"Kearney1963","Cooper",2019-05-18,NA,"LTU",NA
"Keay1975","Braddon",2016-07-02,2019-05-10,"262273",NA
"Keay1975","Braddon",2018-07-28,2019-05-18,"262273",NA
"Keenan1972","Stirling",2004-10-09,2019-04-11,"E0J",NA
"Kelly1954","Dawson",1996-03-02,2007-11-24,"FK6",NA
"Kelly1960","Eden-Monaro",2007-11-24,2013-09-07,"HRI",NA
"Kelly1960","Eden-Monaro",2016-07-02,2020-04-30,"HRI",NA
"Kelly1963","Hughes",2010-08-21,NA,"99931",NA
"Kelly1964","Lindsay",1996-10-19,2007-10-17,"GK6",NA
"Kemp1941","Goldstein",1990-03-24,2004-08-31,"BT4",NA
"Keogh1981","Burt",2016-07-02,NA,"249147",NA
"Kernot1948","Dickson",1998-10-03,2001-11-10,"XW4",NA
