"uniqueID","phid","surname","firstName","displayName","gender","title","prefix","suffix","electorate","party","deathDate","form1","form2","form3","form4","form5"
"Bowden1888","JRJ","Bowden","George","Bowden, George","male","Mr",NA,"MC","Gippsland","Australian Country Party",1962-06-08,"Mr George Bowden","Mr Bowden","Mr GEORGE BOWDEN","Mr BOWDEN","Mr George BOWDEN"
"Bowen1911","JRN","Bowen","Nigel","Bowen, Nigel","male","Mr","the Hon.","KBE, AC, QC","Parramatta","Liberal Party of Australia",1994-09-27,"Mr Nigel Bowen","Mr Bowen","Mr NIGEL BOWEN","Mr BOWEN","Mr Nigel BOWEN"
"Bowen1922","ZE4","Bowen","Lionel","Bowen, Lionel","male","Mr","the Hon.","AC","Kingsford Smith","Australian Labor Party",2012-04-01,"Mr Lionel Bowen","Mr Bowen","Mr LIONEL BOWEN","Mr BOWEN","Mr Lionel BOWEN"
"Bowen1973","DZS","Bowen","Christopher","Bowen, Chris","male","Mr","the Hon.",NA,"McMahon","Australian Labor Party",NA,"Mr Christopher Bowen","Mr Bowen","Mr CHRISTOPHER BOWEN","Mr BOWEN","Mr Christopher BOWEN"
"Boyd1867","JRP","Boyd","James","Boyd, James","male","Mr","the Hon.",NA,"Henty","Nationalist Party",1941-04-12,"Mr James Boyd","Mr Boyd","Mr JAMES BOYD","Mr BOYD","Mr James BOYD"
"Bradbury1976","HVW","Bradbury","David","Bradbury, David","male","Mr","the Hon.",NA,"Lindsay","Australian Labor Party",NA,"Mr David Bradbury","Mr Bradbury","Mr DAVID BRADBURY","Mr BRADBURY","Mr David BRADBURY"
"Braddon1829","JRR","Braddon","Edward","Braddon, Edward","male","Sir","the Rt. Hon. Sir","KCMG","Wilmot","Free Trade",1904-02-02,"Sir Edward Braddon","Sir Braddon","Sir EDWARD BRADDON","Sir BRADDON","Sir Edward BRADDON"
"Bradfield1933","JRU","Bradfield","James","Bradfield, Jim","male","Mr",NA,NA,"Barton","Liberal Party of Australia",1989-11-19,"Mr James Bradfield","Mr Bradfield","Mr JAMES BRADFIELD","Mr BRADFIELD","Mr James BRADFIELD"
"Bradford1946","FT4","Bradford","John","Bradford, John","male","Mr",NA,NA,"McPherson","Christian Democratic Party",NA,"Mr John Bradford","Mr Bradford","Mr JOHN BRADFORD","Mr BRADFORD","Mr John BRADFORD"
"Braithwaite1933","0F4","Braithwaite","Raymond","Braithwaite, Ray","male","Mr",NA,"OAM","Dawson","National Party of Australia",NA,"Mr Raymond Braithwaite","Mr Braithwaite","Mr RAYMOND BRAITHWAITE","Mr BRAITHWAITE","Mr Raymond BRAITHWAITE"
"Brand1888","JS7","Brand","William","Brand, William","male","Mr",NA,"CBE","Wide Bay","Australian Country Party",1979-10-26,"Mr William Brand","Mr Brand","Mr WILLIAM BRAND","Mr BRAND","Mr William BRAND"
