"fedchamb_flag","n_name.id","n_electorate","n_party","n_names","date"
0,70,70,4,75,2015-06-25
1,33,33,4,33,2015-06-25
0,75,75,5,79,2015-08-10
0,78,78,7,80,2015-08-11
0,87,87,5,92,2015-08-12
1,37,37,5,37,2015-08-12
0,81,82,5,91,2015-08-13
1,33,33,3,34,2015-08-13
0,87,87,6,91,2015-08-17
1,54,53,4,53,2015-08-17
0,85,84,5,94,2015-08-18
0,83,84,5,94,2015-08-19
1,20,21,5,21,2015-08-19
0,78,78,7,86,2015-08-20
1,38,38,5,38,2015-08-20
0,86,87,6,89,2015-09-07
1,51,51,5,52,2015-09-07
0,74,75,6,87,2015-09-08
0,80,80,7,88,2015-09-09
1,28,29,4,29,2015-09-09
0,80,80,7,88,2015-09-10
1,28,29,4,29,2015-09-10
0,89,89,6,94,2015-09-14
1,53,54,6,56,2015-09-14
0,75,78,6,83,2015-09-15
0,78,79,5,89,2015-09-16
1,21,21,4,21,2015-09-16
0,78,79,6,89,2015-09-17
1,35,35,5,38,2015-09-17
0,83,82,7,86,2015-10-12
1,57,57,6,57,2015-10-12
0,82,82,7,87,2015-10-13
0,80,80,6,83,2015-10-14
1,20,20,5,20,2015-10-14
0,81,82,5,85,2015-10-15
1,35,35,4,35,2015-10-15
0,87,88,7,93,2015-10-19
1,53,53,6,53,2015-10-19
0,78,80,7,80,2015-10-20
0,87,88,7,91,2015-10-21
1,21,21,4,21,2015-10-21
0,86,86,5,86,2015-10-22
1,37,37,4,38,2015-10-22
0,93,94,4,99,2015-11-09
1,60,60,5,60,2015-11-09
0,76,78,5,82,2015-11-10
0,80,82,7,91,2015-11-11
0,78,79,7,81,2015-11-12
1,45,45,5,46,2015-11-12
0,91,90,7,93,2015-11-23
1,52,52,7,53,2015-11-23
0,75,76,5,81,2015-11-24
0,82,82,7,89,2015-11-25
1,21,21,5,21,2015-11-25
0,73,73,6,80,2015-11-26
1,46,46,5,46,2015-11-26
0,84,84,7,89,2015-11-30
1,54,54,6,54,2015-11-30
0,76,77,7,87,2015-12-01
0,73,74,5,81,2015-12-02
1,20,21,4,21,2015-12-02
0,72,72,7,76,2015-12-03
1,44,44,4,44,2015-12-03
0,77,79,7,89,2016-02-02
0,80,82,7,89,2016-02-03
1,36,37,6,37,2016-02-03
0,81,84,6,90,2016-02-04
1,36,39,3,39,2016-02-04
0,89,90,6,96,2016-02-08
1,51,51,5,53,2016-02-08
0,68,68,6,78,2016-02-09
0,78,79,7,82,2016-02-10
1,26,26,4,26,2016-02-10
0,57,57,4,62,2016-02-11
1,32,32,3,33,2016-02-11
0,82,82,7,86,2016-02-22
1,61,61,7,62,2016-02-22
0,71,71,5,82,2016-02-23
0,76,77,7,84,2016-02-24
